POS;TEAM;WIN%
1;Phoenix Suns;.815
2;Golden State Warriors;.759
3;Memphis Grizzlies;.679
4;Miami Heat;.636
5;Milwaukee Bucks;.625
6;Chicago Bulls;.611
6;Cleveland Cavaliers;.611
6;Utah Jazz;.611
9;Philadelphia 76ers;.593
10;Dallas Mavericks;.582
11;Toronto Raptors;.558
12;Denver Nuggets;.556
13;Boston Celtics;.554
14;Brooklyn Nets;.537
14;Minnesota Timberwolves;.537
16;Charlotte Hornets;.509
17;LA Clippers;.482
18;Atlanta Hawks;.481
19;Los Angeles Lakers;.473
20;Washington Wizards;.453
21;New York Knicks;.436
22;New Orleans Pelicans;.407
23;Portland Trail Blazers;.382
24;San Antonio Spurs;.370
25;Sacramento Kings;.357
26;Indiana Pacers;.339
27;Oklahoma City Thunder;.321
28;Houston Rockets;.278
29;Orlando Magic;.232
30;Detroit Pistons;.222